"TIME","GEO","SECTPERF","UNIT","Value","Flag and Footnotes"
"2010","Serbia","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","54.933",""
"2010","Serbia","Government sector","Million euro","81.13",""
"2010","Serbia","Government sector","Euro per inhabitant","11.1",""
"2010","Serbia","Government sector","Million units of national currency","8,359.865",""
"2010","Serbia","Government sector","Million purchasing power standards (PPS)","183.65",""
"2010","Serbia","Government sector","Million purchasing power standards (PPS) at 2005 prices","172.964",""
"2010","Serbia","Higher education sector","Million euro","114.539",""
"2010","Serbia","Higher education sector","Euro per inhabitant","15.7",""
"2010","Serbia","Higher education sector","Million units of national currency","11,802.428",""
"2010","Serbia","Higher education sector","Million purchasing power standards (PPS)","259.277",""
"2010","Serbia","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","244.191",""
"2010","Serbia","Private non-profit sector","Million euro","0.106",""
"2010","Serbia","Private non-profit sector","Euro per inhabitant","0",""
"2010","Serbia","Private non-profit sector","Million units of national currency","10.866",""
"2010","Serbia","Private non-profit sector","Million purchasing power standards (PPS)","0.239",""
"2010","Serbia","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","0.225",""
"2010","Turkey","All sectors","Million euro","4,641.918",""
"2010","Turkey","All sectors","Euro per inhabitant","64",""
"2010","Turkey","All sectors","Million units of national currency","9,267.59",""
"2010","Turkey","All sectors","Million purchasing power standards (PPS)","7,705.654",""
"2010","Turkey","All sectors","Million purchasing power standards (PPS) at 2005 prices","6,429.182",""
"2010","Turkey","Business enterprise sector","Million euro","1,974.91",""
"2010","Turkey","Business enterprise sector","Euro per inhabitant","27.2",""
"2010","Turkey","Business enterprise sector","Million units of national currency","3,942.908",""
"2010","Turkey","Business enterprise sector","Million purchasing power standards (PPS)","3,278.381",""
"2010","Turkey","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","2,735.304",""
"2010","Turkey","Government sector","Million euro","531.271",""
"2010","Turkey","Government sector","Euro per inhabitant","7.3",""
"2010","Turkey","Government sector","Million units of national currency","1,060.683",""
"2010","Turkey","Government sector","Million purchasing power standards (PPS)","881.918",""
"2010","Turkey","Government sector","Million purchasing power standards (PPS) at 2005 prices","735.825",""
"2010","Turkey","Higher education sector","Million euro","2,135.737",""
"2010","Turkey","Higher education sector","Euro per inhabitant","29.4",""
"2010","Turkey","Higher education sector","Million units of national currency","4,263.998",""
"2010","Turkey","Higher education sector","Million purchasing power standards (PPS)","3,545.355",""
"2010","Turkey","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","2,958.053",""
"2010","Turkey","Private non-profit sector","Million euro",":",""
"2010","Turkey","Private non-profit sector","Euro per inhabitant",":",""
"2010","Turkey","Private non-profit sector","Million units of national currency",":",""
"2010","Turkey","Private non-profit sector","Million purchasing power standards (PPS)",":",""
"2010","Turkey","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2010","Bosnia and Herzegovina","All sectors","Million euro",":",""
"2010","Bosnia and Herzegovina","All sectors","Euro per inhabitant",":",""
"2010","Bosnia and Herzegovina","All sectors","Million units of national currency",":",""
"2010","Bosnia and Herzegovina","All sectors","Million purchasing power standards (PPS)",":",""
"2010","Bosnia and Herzegovina","All sectors","Million purchasing power standards (PPS) at 2005 prices",":",""
"2010","Bosnia and Herzegovina","Business enterprise sector","Million euro",":",""
"2010","Bosnia and Herzegovina","Business enterprise sector","Euro per inhabitant",":",""
"2010","Bosnia and Herzegovina","Business enterprise sector","Million units of national currency",":",""
"2010","Bosnia and Herzegovina","Business enterprise sector","Million purchasing power standards (PPS)",":",""
"2010","Bosnia and Herzegovina","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2010","Bosnia and Herzegovina","Government sector","Million euro",":",""
"2010","Bosnia and Herzegovina","Government sector","Euro per inhabitant",":",""
"2010","Bosnia and Herzegovina","Government sector","Million units of national currency",":",""
"2010","Bosnia and Herzegovina","Government sector","Million purchasing power standards (PPS)",":",""
"2010","Bosnia and Herzegovina","Government sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2010","Bosnia and Herzegovina","Higher education sector","Million euro",":",""
"2010","Bosnia and Herzegovina","Higher education sector","Euro per inhabitant",":",""
"2010","Bosnia and Herzegovina","Higher education sector","Million units of national currency",":",""
"2010","Bosnia and Herzegovina","Higher education sector","Million purchasing power standards (PPS)",":",""
"2010","Bosnia and Herzegovina","Higher education sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2010","Bosnia and Herzegovina","Private non-profit sector","Million euro",":",""
"2010","Bosnia and Herzegovina","Private non-profit sector","Euro per inhabitant",":",""
"2010","Bosnia and Herzegovina","Private non-profit sector","Million units of national currency",":",""
"2010","Bosnia and Herzegovina","Private non-profit sector","Million purchasing power standards (PPS)",":",""
"2010","Bosnia and Herzegovina","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2010","Russia","All sectors","Million euro","12,998.994",""
"2010","Russia","All sectors","Euro per inhabitant","91.6",""
"2010","Russia","All sectors","Million units of national currency","523,377.2",""
"2010","Russia","All sectors","Million purchasing power standards (PPS)","26,132.927",""
"2010","Russia","All sectors","Million purchasing power standards (PPS) at 2005 prices","26,058.122",""
"2010","Russia","Business enterprise sector","Million euro","7,865.844",""
"2010","Russia","Business enterprise sector","Euro per inhabitant","55.4",""
"2010","Russia","Business enterprise sector","Million units of national currency","316,701.7",""
"2010","Russia","Business enterprise sector","Million purchasing power standards (PPS)","15,813.342",""
"2010","Russia","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","15,768.076",""
"2010","Russia","Government sector","Million euro","4,023.267",""
"2010","Russia","Government sector","Euro per inhabitant","28.3",""
"2010","Russia","Government sector","Million units of national currency","161,988.4",""
"2010","Russia","Government sector","Million purchasing power standards (PPS)","8,088.299",""
"2010","Russia","Government sector","Million purchasing power standards (PPS) at 2005 prices","8,065.146",""
"2010","Russia","Higher education sector","Million euro","1,085.714",""
"2010","Russia","Higher education sector","Euro per inhabitant","7.7",""
"2010","Russia","Higher education sector","Million units of national currency","43,714",""
"2010","Russia","Higher education sector","Million purchasing power standards (PPS)","2,182.699",""
"2010","Russia","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","2,176.451",""
"2010","Russia","Private non-profit sector","Million euro","24.169",""
"2010","Russia","Private non-profit sector","Euro per inhabitant","0.2",""
"2010","Russia","Private non-profit sector","Million units of national currency","973.1",""
"2010","Russia","Private non-profit sector","Million purchasing power standards (PPS)","48.588",""
"2010","Russia","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","48.449",""
"2010","United States","All sectors","Million euro","309,340.726","d"
"2010","United States","All sectors","Euro per inhabitant","998.6","d"
"2010","United States","All sectors","Million units of national currency","410,093","d"
"2010","United States","All sectors","Million purchasing power standards (PPS)","313,838.678","d"
"2010","United States","All sectors","Million purchasing power standards (PPS) at 2005 prices","316,768.375","d"
"2010","United States","Business enterprise sector","Million euro","210,437.505","d"
"2010","United States","Business enterprise sector","Euro per inhabitant","679.3","d"
"2010","United States","Business enterprise sector","Million units of national currency","278,977","d"
"2010","United States","Business enterprise sector","Million purchasing power standards (PPS)","213,497.36","d"
"2010","United States","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","215,490.367","d"
"2010","United States","Government sector","Million euro","39,315.833",""
"2010","United States","Government sector","Euro per inhabitant","126.9",""
"2010","United States","Government sector","Million units of national currency","52,121",""
"2010","United States","Government sector","Million purchasing power standards (PPS)","39,887.503",""
"2010","United States","Government sector","Million purchasing power standards (PPS) at 2005 prices","40,259.854",""
"2010","United States","Higher education sector","Million euro","45,541.224","d"
"2010","United States","Higher education sector","Euro per inhabitant","147","d"
"2010","United States","Higher education sector","Million units of national currency","60,374","d"
"2010","United States","Higher education sector","Million purchasing power standards (PPS)","46,203.413","d"
"2010","United States","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","46,634.724","d"
"2010","United States","Private non-profit sector","Million euro","14,046.164","d"
"2010","United States","Private non-profit sector","Euro per inhabitant","45.3","d"
"2010","United States","Private non-profit sector","Million units of national currency","18,621","d"
"2010","United States","Private non-profit sector","Million purchasing power standards (PPS)","14,250.402","d"
"2010","United States","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","14,383.43","d"
"2010","China except Hong Kong","All sectors","Million euro","78,724.998",""
"2010","China except Hong Kong","All sectors","Euro per inhabitant","58.7",""
"2010","China except Hong Kong","All sectors","Million units of national currency","706,257.7",""
"2010","China except Hong Kong","All sectors","Million purchasing power standards (PPS)","162,668.471",""
"2010","China except Hong Kong","All sectors","Million purchasing power standards (PPS) at 2005 prices","162,190.637",""
"2010","China except Hong Kong","Business enterprise sector","Million euro","57,801.242",""
"2010","China except Hong Kong","Business enterprise sector","Euro per inhabitant","43.1",""
"2010","China except Hong Kong","Business enterprise sector","Million units of national currency","518,546.5",""
"2010","China except Hong Kong","Business enterprise sector","Million purchasing power standards (PPS)","119,433.978",""
"2010","China except Hong Kong","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","119,083.143",""
"2010","China except Hong Kong","Government sector","Million euro","14,265.806",""
"2010","China except Hong Kong","Government sector","Euro per inhabitant","10.6",""
"2010","China except Hong Kong","Government sector","Million units of national currency","127,981.4",""
"2010","China except Hong Kong","Government sector","Million purchasing power standards (PPS)","29,477.256",""
"2010","China except Hong Kong","Government sector","Million purchasing power standards (PPS) at 2005 prices","29,390.667",""
"2010","China except Hong Kong","Higher education sector","Million euro","6,657.95",""
"2010","China except Hong Kong","Higher education sector","Euro per inhabitant","5",""
"2010","China except Hong Kong","Higher education sector","Million units of national currency","59,729.8",""
"2010","China except Hong Kong","Higher education sector","Million purchasing power standards (PPS)","13,757.238",""
"2010","China except Hong Kong","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","13,716.826",""
"2010","China except Hong Kong","Private non-profit sector","Million euro",":",""
"2010","China except Hong Kong","Private non-profit sector","Euro per inhabitant",":",""
"2010","China except Hong Kong","Private non-profit sector","Million units of national currency",":",""
"2010","China except Hong Kong","Private non-profit sector","Million purchasing power standards (PPS)",":",""
"2010","China except Hong Kong","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices",":",""
"2010","Japan","All sectors","Million euro","135,035.091",""
"2010","Japan","All sectors","Euro per inhabitant","1,054.6",""
"2010","Japan","All sectors","Million units of national currency","15,696,479",""
"2010","Japan","All sectors","Million purchasing power standards (PPS)","107,572.758",""
"2010","Japan","All sectors","Million purchasing power standards (PPS) at 2005 prices","109,376.647",""
"2010","Japan","Business enterprise sector","Million euro","103,321",""
"2010","Japan","Business enterprise sector","Euro per inhabitant","806.9",""
"2010","Japan","Business enterprise sector","Million units of national currency","12,010,033",""
"2010","Japan","Business enterprise sector","Million purchasing power standards (PPS)","82,308.419",""
"2010","Japan","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","83,688.65",""
"2010","Japan","Government sector","Million euro","12,186.158",""
"2010","Japan","Government sector","Euro per inhabitant","95.2",""
"2010","Japan","Government sector","Million units of national currency","1,416,519",""
"2010","Japan","Government sector","Million purchasing power standards (PPS)","9,707.837",""
"2010","Japan","Government sector","Million purchasing power standards (PPS) at 2005 prices","9,870.628",""
"2010","Japan","Higher education sector","Million euro","17,382.209",""
"2010","Japan","Higher education sector","Euro per inhabitant","135.8",""
"2010","Japan","Higher education sector","Million units of national currency","2,020,508",""
"2010","Japan","Higher education sector","Million purchasing power standards (PPS)","13,847.158",""
"2010","Japan","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","14,079.361",""
"2010","Japan","Private non-profit sector","Million euro","2,145.724",""
"2010","Japan","Private non-profit sector","Euro per inhabitant","16.8",""
"2010","Japan","Private non-profit sector","Million units of national currency","249,419",""
"2010","Japan","Private non-profit sector","Million purchasing power standards (PPS)","1,709.345",""
"2010","Japan","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","1,738.009",""
"2010","South Korea","All sectors","Million euro","28,629.235",""
"2010","South Korea","All sectors","Euro per inhabitant","577.7",""
"2010","South Korea","All sectors","Million units of national currency","43,854,834.283",""
"2010","South Korea","All sectors","Million purchasing power standards (PPS)","38,950.579",""
"2010","South Korea","All sectors","Million purchasing power standards (PPS) at 2005 prices","38,840.659",""
"2010","South Korea","Business enterprise sector","Million euro","21,414.552",""
"2010","South Korea","Business enterprise sector","Euro per inhabitant","432.1",""
"2010","South Korea","Business enterprise sector","Million units of national currency","32,803,239.56",""
"2010","South Korea","Business enterprise sector","Million purchasing power standards (PPS)","29,134.876",""
"2010","South Korea","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","29,052.657",""
"2010","South Korea","Government sector","Million euro","3,628.411",""
"2010","South Korea","Government sector","Euro per inhabitant","73.2",""
"2010","South Korea","Government sector","Million units of national currency","5,558,071.87",""
"2010","South Korea","Government sector","Million purchasing power standards (PPS)","4,936.517",""
"2010","South Korea","Government sector","Million purchasing power standards (PPS) at 2005 prices","4,922.586",""
"2010","South Korea","Higher education sector","Million euro","3,097.922",""
"2010","South Korea","Higher education sector","Euro per inhabitant","62.5",""
"2010","South Korea","Higher education sector","Million units of national currency","4,745,458.693",""
"2010","South Korea","Higher education sector","Million purchasing power standards (PPS)","4,214.777",""
"2010","South Korea","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","4,202.883",""
"2010","South Korea","Private non-profit sector","Million euro","488.35",""
"2010","South Korea","Private non-profit sector","Euro per inhabitant","9.9",""
"2010","South Korea","Private non-profit sector","Million units of national currency","748,064.16",""
"2010","South Korea","Private non-profit sector","Million purchasing power standards (PPS)","664.409",""
"2010","South Korea","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","662.534",""
"2011","European Union - 28 countries","All sectors","Million euro","259,893.079",""
"2011","European Union - 28 countries","All sectors","Euro per inhabitant","516.7",""
"2011","European Union - 28 countries","All sectors","Million units of national currency",":",""
"2011","European Union - 28 countries","All sectors","Million purchasing power standards (PPS)","247,800.737",""
"2011","European Union - 28 countries","All sectors","Million purchasing power standards (PPS) at 2005 prices","234,056.261",""
"2011","European Union - 28 countries","Business enterprise sector","Million euro","164,188.704",""
"2011","European Union - 28 countries","Business enterprise sector","Euro per inhabitant","326.4",""
"2011","European Union - 28 countries","Business enterprise sector","Million units of national currency",":",""
"2011","European Union - 28 countries","Business enterprise sector","Million purchasing power standards (PPS)","154,681.178",""
"2011","European Union - 28 countries","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","146,293.6",""
"2011","European Union - 28 countries","Government sector","Million euro","32,406.002",""
"2011","European Union - 28 countries","Government sector","Euro per inhabitant","64.4",""
"2011","European Union - 28 countries","Government sector","Million units of national currency",":",""
"2011","European Union - 28 countries","Government sector","Million purchasing power standards (PPS)","32,371.484",""
"2011","European Union - 28 countries","Government sector","Million purchasing power standards (PPS) at 2005 prices","30,465.264",""
"2011","European Union - 28 countries","Higher education sector","Million euro","60,959.269",""
"2011","European Union - 28 countries","Higher education sector","Euro per inhabitant","121.2",""
"2011","European Union - 28 countries","Higher education sector","Million units of national currency",":",""
"2011","European Union - 28 countries","Higher education sector","Million purchasing power standards (PPS)","58,479.052",""
"2011","European Union - 28 countries","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","55,161.911",""
"2011","European Union - 28 countries","Private non-profit sector","Million euro","2,339.104","e"
"2011","European Union - 28 countries","Private non-profit sector","Euro per inhabitant","4.7","e"
"2011","European Union - 28 countries","Private non-profit sector","Million units of national currency",":",""
"2011","European Union - 28 countries","Private non-profit sector","Million purchasing power standards (PPS)","2,269.024","e"
"2011","European Union - 28 countries","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","2,135.485","e"
"2011","Euro area (19 countries)","All sectors","Million euro","200,083.177",""
"2011","Euro area (19 countries)","All sectors","Euro per inhabitant","598",""
"2011","Euro area (19 countries)","All sectors","Million units of national currency",":",""
"2011","Euro area (19 countries)","All sectors","Million purchasing power standards (PPS)","190,109.114",""
"2011","Euro area (19 countries)","All sectors","Million purchasing power standards (PPS) at 2005 prices","179,596.415",""
"2011","Euro area (19 countries)","Business enterprise sector","Million euro","126,637.171",""
"2011","Euro area (19 countries)","Business enterprise sector","Euro per inhabitant","378.5",""
"2011","Euro area (19 countries)","Business enterprise sector","Million units of national currency",":",""
"2011","Euro area (19 countries)","Business enterprise sector","Million purchasing power standards (PPS)","119,720.106",""
"2011","Euro area (19 countries)","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","113,179.963",""
"2011","Euro area (19 countries)","Government sector","Million euro","26,870.203",""
"2011","Euro area (19 countries)","Government sector","Euro per inhabitant","80.3",""
"2011","Euro area (19 countries)","Government sector","Million units of national currency",":",""
"2011","Euro area (19 countries)","Government sector","Million purchasing power standards (PPS)","25,740.42",""
"2011","Euro area (19 countries)","Government sector","Million purchasing power standards (PPS) at 2005 prices","24,315.74",""
"2011","Euro area (19 countries)","Higher education sector","Million euro","44,902.327",""
"2011","Euro area (19 countries)","Higher education sector","Euro per inhabitant","134.2",""
"2011","Euro area (19 countries)","Higher education sector","Million units of national currency",":",""
"2011","Euro area (19 countries)","Higher education sector","Million purchasing power standards (PPS)","43,002.307",""
"2011","Euro area (19 countries)","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","40,571.14",""
"2011","Euro area (19 countries)","Private non-profit sector","Million euro","1,673.476","e"
"2011","Euro area (19 countries)","Private non-profit sector","Euro per inhabitant","5","e"
"2011","Euro area (19 countries)","Private non-profit sector","Million units of national currency",":",""
"2011","Euro area (19 countries)","Private non-profit sector","Million purchasing power standards (PPS)","1,646.281","e"
"2011","Euro area (19 countries)","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","1,529.573","e"
"2011","Belgium","All sectors","Million euro","8,171",""
"2011","Belgium","All sectors","Euro per inhabitant","742.8",""
"2011","Belgium","All sectors","Million units of national currency","8,171",""
"2011","Belgium","All sectors","Million purchasing power standards (PPS)","7,409.994",""
"2011","Belgium","All sectors","Million purchasing power standards (PPS) at 2005 prices","7,029.75",""
"2011","Belgium","Business enterprise sector","Million euro","5,613.4",""
"2011","Belgium","Business enterprise sector","Euro per inhabitant","510.3",""
"2011","Belgium","Business enterprise sector","Million units of national currency","5,613.4",""
"2011","Belgium","Business enterprise sector","Million purchasing power standards (PPS)","5,090.596",""
"2011","Belgium","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","4,829.372",""
"2011","Belgium","Government sector","Million euro","658.6",""
"2011","Belgium","Government sector","Euro per inhabitant","59.9",""
"2011","Belgium","Government sector","Million units of national currency","658.6",""
"2011","Belgium","Government sector","Million purchasing power standards (PPS)","597.261",""
"2011","Belgium","Government sector","Million purchasing power standards (PPS) at 2005 prices","566.613",""
"2011","Belgium","Higher education sector","Million euro","1,825.5",""
"2011","Belgium","Higher education sector","Euro per inhabitant","165.9",""
"2011","Belgium","Higher education sector","Million units of national currency","1,825.5",""
"2011","Belgium","Higher education sector","Million purchasing power standards (PPS)","1,655.482",""
"2011","Belgium","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","1,570.531",""
"2011","Belgium","Private non-profit sector","Million euro","73.6",""
"2011","Belgium","Private non-profit sector","Euro per inhabitant","6.7",""
"2011","Belgium","Private non-profit sector","Million units of national currency","73.6",""
"2011","Belgium","Private non-profit sector","Million purchasing power standards (PPS)","66.745",""
"2011","Belgium","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","63.32",""
"2011","Bulgaria","All sectors","Million euro","219.637",""
"2011","Bulgaria","All sectors","Euro per inhabitant","29.8",""
"2011","Bulgaria","All sectors","Million units of national currency","429.566",""
"2011","Bulgaria","All sectors","Million purchasing power standards (PPS)","462.247",""
"2011","Bulgaria","All sectors","Million purchasing power standards (PPS) at 2005 prices","428.102",""
"2011","Bulgaria","Business enterprise sector","Million euro","116.93",""
"2011","Bulgaria","Business enterprise sector","Euro per inhabitant","15.9",""
"2011","Bulgaria","Business enterprise sector","Million units of national currency","228.691",""
"2011","Bulgaria","Business enterprise sector","Million purchasing power standards (PPS)","246.09",""
"2011","Bulgaria","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","227.912",""
"2011","Bulgaria","Government sector","Million euro","78.711",""
"2011","Bulgaria","Government sector","Euro per inhabitant","10.7",""
"2011","Bulgaria","Government sector","Million units of national currency","153.942",""
"2011","Bulgaria","Government sector","Million purchasing power standards (PPS)","165.654",""
"2011","Bulgaria","Government sector","Million purchasing power standards (PPS) at 2005 prices","153.417",""
"2011","Bulgaria","Higher education sector","Million euro","22.495",""
"2011","Bulgaria","Higher education sector","Euro per inhabitant","3.1",""
"2011","Bulgaria","Higher education sector","Million units of national currency","43.996",""
"2011","Bulgaria","Higher education sector","Million purchasing power standards (PPS)","47.343",""
"2011","Bulgaria","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","43.846",""
"2011","Bulgaria","Private non-profit sector","Million euro","1.502",""
"2011","Bulgaria","Private non-profit sector","Euro per inhabitant","0.2",""
"2011","Bulgaria","Private non-profit sector","Million units of national currency","2.937",""
"2011","Bulgaria","Private non-profit sector","Million purchasing power standards (PPS)","3.16",""
"2011","Bulgaria","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","2.927",""
"2011","Czechia","All sectors","Million euro","2,551.989",""
"2011","Czechia","All sectors","Euro per inhabitant","243.4",""
"2011","Czechia","All sectors","Million units of national currency","62,753.403",""
"2011","Czechia","All sectors","Million purchasing power standards (PPS)","3,547.575",""
"2011","Czechia","All sectors","Million purchasing power standards (PPS) at 2005 prices","3,403.906",""
"2011","Czechia","Business enterprise sector","Million euro","1,411.831",""
"2011","Czechia","Business enterprise sector","Euro per inhabitant","134.6",""
"2011","Czechia","Business enterprise sector","Million units of national currency","34,716.927",""
"2011","Czechia","Business enterprise sector","Million purchasing power standards (PPS)","1,962.617",""
"2011","Czechia","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","1,883.135",""
"2011","Czechia","Government sector","Million euro","504.383",""
"2011","Czechia","Government sector","Euro per inhabitant","48.1",""
"2011","Czechia","Government sector","Million units of national currency","12,402.783",""
"2011","Czechia","Government sector","Million purchasing power standards (PPS)","701.154",""
"2011","Czechia","Government sector","Million purchasing power standards (PPS) at 2005 prices","672.759",""
"2011","Czechia","Higher education sector","Million euro","621.733",""
"2011","Czechia","Higher education sector","Euro per inhabitant","59.3",""
"2011","Czechia","Higher education sector","Million units of national currency","15,288.401",""
"2011","Czechia","Higher education sector","Million purchasing power standards (PPS)","864.284",""
"2011","Czechia","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","829.282",""
"2011","Czechia","Private non-profit sector","Million euro","14.042",""
"2011","Czechia","Private non-profit sector","Euro per inhabitant","1.3",""
"2011","Czechia","Private non-profit sector","Million units of national currency","345.292",""
"2011","Czechia","Private non-profit sector","Million purchasing power standards (PPS)","19.52",""
"2011","Czechia","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","18.73",""
"2011","Denmark","All sectors","Million euro","7,299.197",""
"2011","Denmark","All sectors","Euro per inhabitant","1,312.7",""
"2011","Denmark","All sectors","Million units of national currency","54,383.4",""
"2011","Denmark","All sectors","Million purchasing power standards (PPS)","5,495.049",""
"2011","Denmark","All sectors","Million purchasing power standards (PPS) at 2005 prices","4,743.877",""
"2011","Denmark","Business enterprise sector","Million euro","4,870.266",""
"2011","Denmark","Business enterprise sector","Euro per inhabitant","875.8",""
"2011","Denmark","Business enterprise sector","Million units of national currency","36,286.4",""
"2011","Denmark","Business enterprise sector","Million purchasing power standards (PPS)","3,666.478",""
"2011","Denmark","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","3,165.272",""
"2011","Denmark","Government sector","Million euro","148.052",""
"2011","Denmark","Government sector","Euro per inhabitant","26.6",""
"2011","Denmark","Government sector","Million units of national currency","1,103.076",""
"2011","Denmark","Government sector","Million purchasing power standards (PPS)","111.458",""
"2011","Denmark","Government sector","Million purchasing power standards (PPS) at 2005 prices","96.222",""
"2011","Denmark","Higher education sector","Million euro","2,253.993",""
"2011","Denmark","Higher education sector","Euro per inhabitant","405.3",""
"2011","Denmark","Higher education sector","Million units of national currency","16,793.6",""
"2011","Denmark","Higher education sector","Million purchasing power standards (PPS)","1,696.872",""
"2011","Denmark","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","1,464.91",""
"2011","Denmark","Private non-profit sector","Million euro","26.896",""
"2011","Denmark","Private non-profit sector","Euro per inhabitant","4.8",""
"2011","Denmark","Private non-profit sector","Million units of national currency","200.394",""
"2011","Denmark","Private non-profit sector","Million purchasing power standards (PPS)","20.248",""
"2011","Denmark","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","17.48",""
"2011","Germany (until 1990 former territory of the FRG)","All sectors","Million euro","75,569.073",""
"2011","Germany (until 1990 former territory of the FRG)","All sectors","Euro per inhabitant","942",""
"2011","Germany (until 1990 former territory of the FRG)","All sectors","Million units of national currency","75,569.073",""
"2011","Germany (until 1990 former territory of the FRG)","All sectors","Million purchasing power standards (PPS)","72,280.318",""
"2011","Germany (until 1990 former territory of the FRG)","All sectors","Million purchasing power standards (PPS) at 2005 prices","68,905.589",""
"2011","Germany (until 1990 former territory of the FRG)","Business enterprise sector","Million euro","51,077.2",""
"2011","Germany (until 1990 former territory of the FRG)","Business enterprise sector","Euro per inhabitant","636.7",""
"2011","Germany (until 1990 former territory of the FRG)","Business enterprise sector","Million units of national currency","51,077.2",""
"2011","Germany (until 1990 former territory of the FRG)","Business enterprise sector","Million purchasing power standards (PPS)","48,854.328",""
"2011","Germany (until 1990 former territory of the FRG)","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","46,573.346",""
"2011","Germany (until 1990 former territory of the FRG)","Government sector","Million euro","10,974.3","d"
"2011","Germany (until 1990 former territory of the FRG)","Government sector","Euro per inhabitant","136.8","d"
"2011","Germany (until 1990 former territory of the FRG)","Government sector","Million units of national currency","10,974.3","d"
"2011","Germany (until 1990 former territory of the FRG)","Government sector","Million purchasing power standards (PPS)","10,496.7","d"
"2011","Germany (until 1990 former territory of the FRG)","Government sector","Million purchasing power standards (PPS) at 2005 prices","10,006.615","d"
"2011","Germany (until 1990 former territory of the FRG)","Higher education sector","Million euro","13,517.573",""
"2011","Germany (until 1990 former territory of the FRG)","Higher education sector","Euro per inhabitant","168.5",""
"2011","Germany (until 1990 former territory of the FRG)","Higher education sector","Million units of national currency","13,517.573",""
"2011","Germany (until 1990 former territory of the FRG)","Higher education sector","Million purchasing power standards (PPS)","12,929.29",""
"2011","Germany (until 1990 former territory of the FRG)","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","12,325.628",""
"2011","Germany (until 1990 former territory of the FRG)","Private non-profit sector","Million euro",":","d"
"2011","Germany (until 1990 former territory of the FRG)","Private non-profit sector","Euro per inhabitant",":","d"
"2011","Germany (until 1990 former territory of the FRG)","Private non-profit sector","Million units of national currency",":","d"
"2011","Germany (until 1990 former territory of the FRG)","Private non-profit sector","Million purchasing power standards (PPS)",":","d"
"2011","Germany (until 1990 former territory of the FRG)","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices",":","d"
"2011","Estonia","All sectors","Million euro","384.447",""
"2011","Estonia","All sectors","Euro per inhabitant","289.1",""
"2011","Estonia","All sectors","Million units of national currency","384.447",""
"2011","Estonia","All sectors","Million purchasing power standards (PPS)","566.947",""
"2011","Estonia","All sectors","Million purchasing power standards (PPS) at 2005 prices","462.55",""
"2011","Estonia","Business enterprise sector","Million euro","242.845",""
"2011","Estonia","Business enterprise sector","Euro per inhabitant","182.6",""
"2011","Estonia","Business enterprise sector","Million units of national currency","242.845",""
"2011","Estonia","Business enterprise sector","Million purchasing power standards (PPS)","358.125",""
"2011","Estonia","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","292.18",""
